epoch,avg Loss
0,0.21436173485592008
1,0.0370904706150759
2,0.0061729799781460315
3,0.005129421307465236
4,0.004720829158359265
5,0.0042973512882281285
6,0.0037842291952711092
7,0.00353413695535437
8,0.0033854822808280006
9,0.0032547721516948515
10,0.003350908109350712
11,0.0029740438869885113
12,0.0027815199128008315
13,0.002700785419942804
14,0.0026114735274609304
15,0.0025683905022697217
16,0.0024954383389012946
17,0.0024208118110914255
18,0.0022584511322111213
19,0.00220764143056158
20,0.002119958790003693
21,0.0021180074669496208
22,0.0019623690823709693
23,0.0019067601660117362
24,0.0018586141616378882
25,0.0018256602702172132
26,0.001949282395660248
27,0.00195844965854576
28,0.0018643311217795145
29,0.001909401718949084
